code,name,participation_2020,participation_2016,participation_2012,participation_2008,participation_2004
VA_001,Accomack County,68.88,64.54,67.54,69.63,64.61
VA_002,Albemarle County,79.17,73.49,72.36,75.80,74.79
VA_003,Alexandria City,73.19,71.46,68.45,72.07,67.27
VA_004,Alleghany County,74.86,68.98,67.39,70.03,68.01
VA_005,Amelia County,80.25,76.42,78.17,78.85,72.32
VA_006,Amherst County,76.45,72.94,73.39,76.17,71.36
VA_007,Appomattox County,79.19,74.95,74.42,75.67,72.12
VA_008,Arlington County,73.26,71.74,69.68,73.78,72.78
VA_009,Augusta County,80.14,75.40,73.70,77.56,76.84
VA_010,Bath County,75.63,67.84,66.04,71.97,67.94
VA_011,Bedford County,80.23,75.44,75.39,76.78,75.23
VA_012,Bland County,76.14,67.40,62.83,65.20,65.41
VA_013,Botetourt County,82.26,77.19,76.98,76.09,74.68
VA_014,Bristol City,66.64,59.80,59.72,62.05,60.22
VA_015,Brunswick County,72.63,69.15,71.38,71.53,66.46
VA_016,Buchanan County,65.19,57.84,58.22,52.86,57.74
VA_017,Buckingham County,75.58,70.91,72.29,71.67,68.61
VA_018,Buena Vista City,65.13,57.80,60.17,63.68,66.77
VA_019,Campbell County,74.96,72.30,70.78,75.07,74.91
VA_020,Caroline County,74.91,75.84,71.95,73.79,67.04
VA_021,Carroll County,75.61,70.48,68.07,68.91,70.06
VA_022,Charles City County,78.62,73.83,77.97,78.28,72.46
VA_023,Charlotte County,73.77,69.51,69.25,71.76,66.45
VA_024,Charlottesville City,69.24,62.90,65.80,69.89,66.11
VA_025,Chesapeake City,74.12,70.33,71.66,74.35,72.03
VA_026,Chesterfield County,78.64,74.27,76.20,78.09,73.08
VA_027,Clarke County,79.90,76.33,75.67,77.82,77.76
VA_028,Colonial Heights City,71.71,67.84,69.63,72.66,71.03
VA_029,Covington City,69.36,63.98,60.69,63.08,61.57
VA_030,Craig County,79.80,71.44,69.18,70.34,72.58
VA_031,Culpeper County,77.21,71.05,67.94,72.38,67.89
VA_032,Cumberland County,73.79,70.90,72.82,70.77,67.48
VA_033,Danville City,68.28,66.62,68.61,71.39,67.25
VA_034,Dickenson County,71.06,59.60,60.54,58.61,62.26
VA_035,Dinwiddie County,74.79,70.95,72.82,73.23,70.85
VA_036,Emporia City,61.48,60.86,68.76,70.05,64.12
VA_037,Essex County,76.21,71.08,74.79,76.28,68.95
VA_038,Fairfax City,77.61,75.22,73.62,73.51,72.85
VA_039,Fairfax County,76.32,73.72,71.86,75.68,72.97
VA_040,Falls Church City,79.27,75.69,77.55,79.93,81.18
VA_041,Fauquier County,80.30,76.08,75.32,77.86,76.93
VA_042,Floyd County,81.50,73.78,72.97,74.43,71.58
VA_043,Fluvanna County,79.84,76.04,73.05,75.95,73.90
VA_044,Franklin City,70.93,69.60,72.01,73.64,65.12
VA_045,Franklin County,77.19,73.57,74.56,75.46,74.87
VA_046,Frederick County,75.78,71.85,70.21,72.53,71.63
