muni_code,name,dem_2021,rep_2021,other_2021,dem_2020,rep_2020,other_2020,dem_2017,rep_2017,other_2017,dem_2016,rep_2016,other_2016,dem_2013,rep_2013,other_2013,dem_2012,rep_2012,other_2012,dem_2009,rep_2009,other_2009,dem_2008,rep_2008,other_2008
VA_001,Accomack County,4948,7878,71,7578,9172,212,4876,5736,54,6740,8583,495,3806,4879,401,7655,8213,183,3249,5400,2,7607,7833,183
VA_002,Albemarle County,31919,19141,383,42466,20804,1387,26969,14857,482,33345,19259,4122,19039,12408,3641,29757,23297,934,15433,15767,35,29792,20576,616
VA_003,Alexandria City,43866,14013,451,66240,14544,1724,40896,10822,471,57242,13285,5243,29584,9405,2229,52199,20249,1093,22108,13050,71,50473,19181,710
VA_004,Alleghany County,1518,4530,31,2243,5859,101,1478,2888,37,2166,4874,285,1628,1993,515,3403,3595,175,3190,2017,3,3553,3715,101
VA_005,Amelia County,1617,4720,25,2411,5390,92,1403,3170,41,2128,4708,204,1338,2613,306,2490,4331,94,1168,2878,2,2488,3970,71
VA_006,Amherst County,3897,9731,78,5672,11041,292,3258,6431,97,5057,9719,620,2993,5466,580,5900,8876,194,2827,5976,4,6094,8470,136
VA_007,Appomattox County,1438,5971,31,2418,6702,148,1227,3894,51,2023,5715,273,1241,3475,368,2453,5340,142,1172,3397,1,2641,4903,86
VA_008,Arlington County,73013,21548,670,105344,22318,3037,68093,16268,853,92016,20186,9154,48346,14978,4215,81269,34474,1867,36949,19325,141,78994,29876,1283
VA_009,Augusta County,7231,26196,186,10840,30714,724,6030,17217,327,8177,26163,2003,5100,13817,1492,9451,23624,621,4558,15661,16,9825,23120,393
VA_010,Bath County,396,1539,12,646,1834,21,450,1013,19,603,1548,102,392,686,135,894,1274,55,1159,666,1,1043,1349,40
VA_011,Bedford County,8001,30912,166,12176,35600,893,6985,20573,249,9768,30659,2098,5802,17330,1888,11434,28206,602,5562,17897,14,12225,25917,422
VA_012,Bland County,364,2274,13,532,2903,44,388,1676,21,453,2573,113,388,1300,161,735,2144,69,442,1394,1,864,2031,64
VA_013,Botetourt County,3990,13066,69,5700,15099,321,3409,8965,128,4494,13375,870,2924,7366,1023,5452,12479,310,3097,7726,19,5693,11471,242
VA_014,Bristol City,1342,3773,32,2313,5347,146,1242,3006,46,1835,4892,305,1305,2536,155,2492,4780,124,1047,2760,3,2665,4579,115
VA_015,Brunswick County,3165,2880,39,4552,3357,39,2728,2010,19,4481,3046,142,2704,1618,201,4994,2968,80,2062,2107,4,4973,2877,64
VA_016,Buchanan County,903,5083,14,1587,8311,55,1062,3449,31,1721,7296,230,1461,3275,113,3094,6436,116,1895,3261,2,4063,4541,130
VA_017,Buckingham County,2222,3894,37,3471,4544,111,1924,2638,40,3128,3950,217,1804,2053,306,3750,3569,138,1335,2313,0,3489,3428,77
VA_018,Buena Vista City,481,1459,23,825,1863,88,529,1090,36,693,1430,284,422,721,102,919,1564,44,528,824,0,1108,1282,33
VA_019,Campbell County,4930,18213,92,8070,21245,577,4415,12791,167,6664,19551,1320,3712,11133,1022,7595,17695,416,3457,11611,26,8091,17444,279
VA_020,Caroline County,5045,6917,99,7657,8336,295,4126,4135,99,6432,7147,1284,3794,3380,611,7276,6151,225,2855,3709,4,7163,5617,139
VA_021,Carroll County,1910,9868,47,2842,12659,150,1838,6363,76,2559,10663,446,2182,5061,635,3685,8736,497,1932,5229,5,4109,8187,283
VA_022,Charles City County,1822,1550,15,2624,1761,56,1699,1000,17,2496,1476,135,1558,828,156,2772,1396,64,1259,890,2,2838,1288,27
VA_023,Charlotte County,1396,3354,24,2317,3815,59,1419,2559,36,2155,3479,174,1358,2104,270,2503,3311,84,1171,2347,5,2705,3372,80
VA_024,Charlottesville City,14378,2774,195,20696,3094,415,13943,2315,190,17901,2960,1611,9440,1922,1146,16510,4844,450,7406,2636,14,15705,4078,261
VA_025,Chesapeake City,42907,48079,713,66377,58180,2551,38459,33108,880,52627,54047,6031,30838,28855,3584,55052,53900,1531,21376,32518,43,53994,52625,902
